nohup: ignoring input
nohup: ignoring input
SGCN!

use cuda: True
Namespace(name='cora', k=None, lr=0.0005, n_clusters=7, n_z=10, cuda=True, pretrain_path='data/cora.pkl', n_input=1433)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1433, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1433, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
74P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


75Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
75Z :acc 0.5927 , nmi 0.3704 , ari 0.3250 , f1 0.4640
75P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


76Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
76Z :acc 0.5790 , nmi 0.3646 , ari 0.3046 , f1 0.4571
76P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


77Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
77Z :acc 0.5960 , nmi 0.3731 , ari 0.3307 , f1 0.4682
77P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


78Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
78Z :acc 0.5827 , nmi 0.3663 , ari 0.3099 , f1 0.4604
78P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


79Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
79Z :acc 0.5879 , nmi 0.3659 , ari 0.3172 , f1 0.4631
79P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


80Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
80Z :acc 0.5871 , nmi 0.3677 , ari 0.3186 , f1 0.4628
80P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


81Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
81Z :acc 0.5864 , nmi 0.3658 , ari 0.3147 , f1 0.4642
81P :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489


82Q :acc 0.5151 , nmi 0.2602 , ari 0.2332 , f1 0.4489
82Z :acc 0.5857 , nmi 0.3651 , ari 0.3137 , f1 0.4637
